function_name,docstring,function_body,file_path
__init__,,"def __init__(self, *, betas: Sequence[float], model_mean_type: str,
    model_var_type: str, loss_type: str, discretized_t0: bool=False,
    channel_scales: Optional[np.ndarray]=None, channel_biases: Optional[np.
    ndarray]=None):
    self.model_mean_type = model_mean_type
    self.model_var_type = model_var_type
    self.loss_type = loss_type
    self.discretized_t0 = discretized_t0
    self.channel_scales = channel_scales
    self.channel_biases = channel_biases
    betas = np.array(betas, dtype=np.float64)
    self.betas = betas
    assert len(betas.shape) == 1, 'betas must be 1-D'
    assert (betas > 0).all() and (betas <= 1).all()
    self.num_timesteps = int(betas.shape[0])
    alphas = 1.0 - betas
    self.alphas_cumprod = np.cumprod(alphas, axis=0)
    self.alphas_cumprod_prev = np.append(1.0, self.alphas_cumprod[:-1])
    self.alphas_cumprod_next = np.append(self.alphas_cumprod[1:], 0.0)
    assert self.alphas_cumprod_prev.shape == (self.num_timesteps,)
    self.sqrt_alphas_cumprod = np.sqrt(self.alphas_cumprod)
    self.sqrt_one_minus_alphas_cumprod = np.sqrt(1.0 - self.alphas_cumprod)
    self.log_one_minus_alphas_cumprod = np.log(1.0 - self.alphas_cumprod)
    self.sqrt_recip_alphas_cumprod = np.sqrt(1.0 / self.alphas_cumprod)
    self.sqrt_recipm1_alphas_cumprod = np.sqrt(1.0 / self.alphas_cumprod - 1)
    self.posterior_variance = betas * (1.0 - self.alphas_cumprod_prev) / (
        1.0 - self.alphas_cumprod)
    self.posterior_log_variance_clipped = np.log(np.append(self.
        posterior_variance[1], self.posterior_variance[1:]))
    self.posterior_mean_coef1 = betas * np.sqrt(self.alphas_cumprod_prev) / (
        1.0 - self.alphas_cumprod)
    self.posterior_mean_coef2 = (1.0 - self.alphas_cumprod_prev) * np.sqrt(
        alphas) / (1.0 - self.alphas_cumprod)
",point_e\diffusion\gaussian_diffusion.py
get_sigmas,,"def get_sigmas(self, t):
    return _extract_into_tensor(self.sqrt_recipm1_alphas_cumprod, t, t.shape)
",point_e\diffusion\gaussian_diffusion.py
q_mean_variance,"Get the distribution q(x_t | x_0).

:param x_start: the [N x C x ...] tensor of noiseless inputs.
:param t: the number of diffusion steps (minus 1). Here, 0 means one step.
:return: A tuple (mean, variance, log_variance), all of x_start's shape.","def q_mean_variance(self, x_start, t):
    """"""""""""
    mean = _extract_into_tensor(self.sqrt_alphas_cumprod, t, x_start.shape
        ) * x_start
    variance = _extract_into_tensor(1.0 - self.alphas_cumprod, t, x_start.shape
        )
    log_variance = _extract_into_tensor(self.log_one_minus_alphas_cumprod,
        t, x_start.shape)
    return mean, variance, log_variance
",point_e\diffusion\gaussian_diffusion.py
q_sample,"Diffuse the data for a given number of diffusion steps.

In other words, sample from q(x_t | x_0).

:param x_start: the initial data batch.
:param t: the number of diffusion steps (minus 1). Here, 0 means one step.
:param noise: if specified, the split-out normal noise.
:return: A noisy version of x_start.","def q_sample(self, x_start, t, noise=None):
    """"""""""""
    if noise is None:
        noise = th.randn_like(x_start)
    assert noise.shape == x_start.shape
    return _extract_into_tensor(self.sqrt_alphas_cumprod, t, x_start.shape
        ) * x_start + _extract_into_tensor(self.
        sqrt_one_minus_alphas_cumprod, t, x_start.shape) * noise
",point_e\diffusion\gaussian_diffusion.py
q_posterior_mean_variance,"Compute the mean and variance of the diffusion posterior:

    q(x_{t-1} | x_t, x_0)","def q_posterior_mean_variance(self, x_start, x_t, t):
    """"""""""""
    assert x_start.shape == x_t.shape
    posterior_mean = _extract_into_tensor(self.posterior_mean_coef1, t, x_t
        .shape) * x_start + _extract_into_tensor(self.posterior_mean_coef2,
        t, x_t.shape) * x_t
    posterior_variance = _extract_into_tensor(self.posterior_variance, t,
        x_t.shape)
    posterior_log_variance_clipped = _extract_into_tensor(self.
        posterior_log_variance_clipped, t, x_t.shape)
    assert posterior_mean.shape[0] == posterior_variance.shape[0
        ] == posterior_log_variance_clipped.shape[0] == x_start.shape[0]
    return posterior_mean, posterior_variance, posterior_log_variance_clipped
",point_e\diffusion\gaussian_diffusion.py
p_mean_variance,"Apply the model to get p(x_{t-1} | x_t), as well as a prediction of
the initial x, x_0.

:param model: the model, which takes a signal and a batch of timesteps
              as input.
:param x: the [N x C x ...] tensor at time t.
:param t: a 1-D Tensor of timesteps.
:param clip_denoised: if True, clip the denoised signal into [-1, 1].
:param denoised_fn: if not None, a function which applies to the
    x_start prediction before it is used to sample. Applies before
    clip_denoised.
:param model_kwargs: if not None, a dict of extra keyword arguments to
    pass to the model. This can be used for conditioning.
:return: a dict with the following keys:
         - 'mean': the model mean output.
         - 'variance': the model variance output.
         - 'log_variance': the log of 'variance'.
         - 'pred_xstart': the prediction for x_0.","def p_mean_variance(self, model, x, t, clip_denoised=False, denoised_fn=
    None, model_kwargs=None):
    """"""""""""
    if model_kwargs is None:
        model_kwargs = {}
    B, C = x.shape[:2]
    assert t.shape == (B,)
    model_output = model(x, t, **model_kwargs)
    if isinstance(model_output, tuple):
        model_output, extra = model_output
    else:
        extra = None
    if self.model_var_type in ['learned', 'learned_range']:
        assert model_output.shape == (B, C * 2, *x.shape[2:])
        model_output, model_var_values = th.split(model_output, C, dim=1)
        if self.model_var_type == 'learned':
            model_log_variance = model_var_values
            model_variance = th.exp(model_log_variance)
        else:
            min_log = _extract_into_tensor(self.
                posterior_log_variance_clipped, t, x.shape)
            max_log = _extract_into_tensor(np.log(self.betas), t, x.shape)
            frac = (model_var_values + 1) / 2
            model_log_variance = frac * max_log + (1 - frac) * min_log
            model_variance = th.exp(model_log_variance)
    else:
        model_variance, model_log_variance = {'fixed_large': (np.append(
            self.posterior_variance[1], self.betas[1:]), np.log(np.append(
            self.posterior_variance[1], self.betas[1:]))), 'fixed_small': (
            self.posterior_variance, self.posterior_log_variance_clipped)}[self
            .model_var_type]
        model_variance = _extract_into_tensor(model_variance, t, x.shape)
        model_log_variance = _extract_into_tensor(model_log_variance, t, x.
            shape)

    def process_xstart(x):
        if denoised_fn is not None:
            x = denoised_fn(x)
        if clip_denoised:
            return x.clamp(-1, 1)
        return x
    if self.model_mean_type == 'x_prev':
        pred_xstart = process_xstart(self._predict_xstart_from_xprev(x_t=x,
            t=t, xprev=model_output))
        model_mean = model_output
    elif self.model_mean_type in ['x_start', 'epsilon']:
        if self.model_mean_type == 'x_start':
            pred_xstart = process_xstart(model_output)
        else:
            pred_xstart = process_xstart(self._predict_xstart_from_eps(x_t=
                x, t=t, eps=model_output))
        model_mean, _, _ = self.q_posterior_mean_variance(x_start=
            pred_xstart, x_t=x, t=t)
    else:
        raise NotImplementedError(self.model_mean_type)
    assert model_mean.shape == model_log_variance.shape == pred_xstart.shape == x.shape
    return {'mean': model_mean, 'variance': model_variance, 'log_variance':
        model_log_variance, 'pred_xstart': pred_xstart, 'extra': extra}
",point_e\diffusion\gaussian_diffusion.py
_predict_xstart_from_eps,,"def _predict_xstart_from_eps(self, x_t, t, eps):
    assert x_t.shape == eps.shape
    return _extract_into_tensor(self.sqrt_recip_alphas_cumprod, t, x_t.shape
        ) * x_t - _extract_into_tensor(self.sqrt_recipm1_alphas_cumprod, t,
        x_t.shape) * eps
",point_e\diffusion\gaussian_diffusion.py
_predict_xstart_from_xprev,,"def _predict_xstart_from_xprev(self, x_t, t, xprev):
    assert x_t.shape == xprev.shape
    return _extract_into_tensor(1.0 / self.posterior_mean_coef1, t, x_t.shape
        ) * xprev - _extract_into_tensor(self.posterior_mean_coef2 / self.
        posterior_mean_coef1, t, x_t.shape) * x_t
",point_e\diffusion\gaussian_diffusion.py
_predict_eps_from_xstart,,"def _predict_eps_from_xstart(self, x_t, t, pred_xstart):
    return (_extract_into_tensor(self.sqrt_recip_alphas_cumprod, t, x_t.
        shape) * x_t - pred_xstart) / _extract_into_tensor(self.
        sqrt_recipm1_alphas_cumprod, t, x_t.shape)
",point_e\diffusion\gaussian_diffusion.py
condition_mean,"Compute the mean for the previous step, given a function cond_fn that
computes the gradient of a conditional log probability with respect to
x. In particular, cond_fn computes grad(log(p(y|x))), and we want to
condition on y.

This uses the conditioning strategy from Sohl-Dickstein et al. (2015).","def condition_mean(self, cond_fn, p_mean_var, x, t, model_kwargs=None):
    """"""""""""
    gradient = cond_fn(x, t, **model_kwargs)
    new_mean = p_mean_var['mean'].float() + p_mean_var['variance'
        ] * gradient.float()
    return new_mean
",point_e\diffusion\gaussian_diffusion.py
condition_score,"Compute what the p_mean_variance output would have been, should the
model's score function be conditioned by cond_fn.

See condition_mean() for details on cond_fn.

Unlike condition_mean(), this instead uses the conditioning strategy
from Song et al (2020).","def condition_score(self, cond_fn, p_mean_var, x, t, model_kwargs=None):
    """"""""""""
    alpha_bar = _extract_into_tensor(self.alphas_cumprod, t, x.shape)
    eps = self._predict_eps_from_xstart(x, t, p_mean_var['pred_xstart'])
    eps = eps - (1 - alpha_bar).sqrt() * cond_fn(x, t, **model_kwargs)
    out = p_mean_var.copy()
    out['pred_xstart'] = self._predict_xstart_from_eps(x, t, eps)
    out['mean'], _, _ = self.q_posterior_mean_variance(x_start=out[
        'pred_xstart'], x_t=x, t=t)
    return out
",point_e\diffusion\gaussian_diffusion.py
p_sample,"Sample x_{t-1} from the model at the given timestep.

:param model: the model to sample from.
:param x: the current tensor at x_{t-1}.
:param t: the value of t, starting at 0 for the first diffusion step.
:param clip_denoised: if True, clip the x_start prediction to [-1, 1].
:param denoised_fn: if not None, a function which applies to the
    x_start prediction before it is used to sample.
:param cond_fn: if not None, this is a gradient function that acts
                similarly to the model.
:param model_kwargs: if not None, a dict of extra keyword arguments to
    pass to the model. This can be used for conditioning.
:return: a dict containing the following keys:
         - 'sample': a random sample from the model.
         - 'pred_xstart': a prediction of x_0.","def p_sample(self, model, x, t, clip_denoised=False, denoised_fn=None,
    cond_fn=None, model_kwargs=None):
    """"""""""""
    out = self.p_mean_variance(model, x, t, clip_denoised=clip_denoised,
        denoised_fn=denoised_fn, model_kwargs=model_kwargs)
    noise = th.randn_like(x)
    nonzero_mask = (t != 0).float().view(-1, *([1] * (len(x.shape) - 1)))
    if cond_fn is not None:
        out['mean'] = self.condition_mean(cond_fn, out, x, t, model_kwargs=
            model_kwargs)
    sample = out['mean'] + nonzero_mask * th.exp(0.5 * out['log_variance']
        ) * noise
    return {'sample': sample, 'pred_xstart': out['pred_xstart']}
",point_e\diffusion\gaussian_diffusion.py
p_sample_loop,"Generate samples from the model.

:param model: the model module.
:param shape: the shape of the samples, (N, C, H, W).
:param noise: if specified, the noise from the encoder to sample.
              Should be of the same shape as `shape`.
:param clip_denoised: if True, clip x_start predictions to [-1, 1].
:param denoised_fn: if not None, a function which applies to the
    x_start prediction before it is used to sample.
:param cond_fn: if not None, this is a gradient function that acts
                similarly to the model.
:param model_kwargs: if not None, a dict of extra keyword arguments to
    pass to the model. This can be used for conditioning.
:param device: if specified, the device to create the samples on.
               If not specified, use a model parameter's device.
:param progress: if True, show a tqdm progress bar.
:return: a non-differentiable batch of samples.","def p_sample_loop(self, model, shape, noise=None, clip_denoised=False,
    denoised_fn=None, cond_fn=None, model_kwargs=None, device=None,
    progress=False, temp=1.0):
    """"""""""""
    final = None
    for sample in self.p_sample_loop_progressive(model, shape, noise=noise,
        clip_denoised=clip_denoised, denoised_fn=denoised_fn, cond_fn=
        cond_fn, model_kwargs=model_kwargs, device=device, progress=
        progress, temp=temp):
        final = sample
    return final['sample']
",point_e\diffusion\gaussian_diffusion.py
p_sample_loop_progressive,"Generate samples from the model and yield intermediate samples from
each timestep of diffusion.

Arguments are the same as p_sample_loop().
Returns a generator over dicts, where each dict is the return value of
p_sample().","def p_sample_loop_progressive(self, model, shape, noise=None, clip_denoised
    =False, denoised_fn=None, cond_fn=None, model_kwargs=None, device=None,
    progress=False, temp=1.0):
    """"""""""""
    if device is None:
        device = next(model.parameters()).device
    assert isinstance(shape, (tuple, list))
    if noise is not None:
        img = noise
    else:
        img = th.randn(*shape, device=device) * temp
    indices = list(range(self.num_timesteps))[::-1]
    if progress:
        from tqdm.auto import tqdm
        indices = tqdm(indices)
    for i in indices:
        t = th.tensor([i] * shape[0], device=device)
        with th.no_grad():
            out = self.p_sample(model, img, t, clip_denoised=clip_denoised,
                denoised_fn=denoised_fn, cond_fn=cond_fn, model_kwargs=
                model_kwargs)
            yield self.unscale_out_dict(out)
            img = out['sample']
",point_e\diffusion\gaussian_diffusion.py
ddim_sample,"Sample x_{t-1} from the model using DDIM.

Same usage as p_sample().","def ddim_sample(self, model, x, t, clip_denoised=False, denoised_fn=None,
    cond_fn=None, model_kwargs=None, eta=0.0):
    """"""""""""
    out = self.p_mean_variance(model, x, t, clip_denoised=clip_denoised,
        denoised_fn=denoised_fn, model_kwargs=model_kwargs)
    if cond_fn is not None:
        out = self.condition_score(cond_fn, out, x, t, model_kwargs=
            model_kwargs)
    eps = self._predict_eps_from_xstart(x, t, out['pred_xstart'])
    alpha_bar = _extract_into_tensor(self.alphas_cumprod, t, x.shape)
    alpha_bar_prev = _extract_into_tensor(self.alphas_cumprod_prev, t, x.shape)
    sigma = eta * th.sqrt((1 - alpha_bar_prev) / (1 - alpha_bar)) * th.sqrt(
        1 - alpha_bar / alpha_bar_prev)
    noise = th.randn_like(x)
    mean_pred = out['pred_xstart'] * th.sqrt(alpha_bar_prev) + th.sqrt(1 -
        alpha_bar_prev - sigma ** 2) * eps
    nonzero_mask = (t != 0).float().view(-1, *([1] * (len(x.shape) - 1)))
    sample = mean_pred + nonzero_mask * sigma * noise
    return {'sample': sample, 'pred_xstart': out['pred_xstart']}
",point_e\diffusion\gaussian_diffusion.py
ddim_reverse_sample,Sample x_{t+1} from the model using DDIM reverse ODE.,"def ddim_reverse_sample(self, model, x, t, clip_denoised=False, denoised_fn
    =None, cond_fn=None, model_kwargs=None, eta=0.0):
    """"""""""""
    assert eta == 0.0, 'Reverse ODE only for deterministic path'
    out = self.p_mean_variance(model, x, t, clip_denoised=clip_denoised,
        denoised_fn=denoised_fn, model_kwargs=model_kwargs)
    if cond_fn is not None:
        out = self.condition_score(cond_fn, out, x, t, model_kwargs=
            model_kwargs)
    eps = (_extract_into_tensor(self.sqrt_recip_alphas_cumprod, t, x.shape) *
        x - out['pred_xstart']) / _extract_into_tensor(self.
        sqrt_recipm1_alphas_cumprod, t, x.shape)
    alpha_bar_next = _extract_into_tensor(self.alphas_cumprod_next, t, x.shape)
    mean_pred = out['pred_xstart'] * th.sqrt(alpha_bar_next) + th.sqrt(1 -
        alpha_bar_next) * eps
    return {'sample': mean_pred, 'pred_xstart': out['pred_xstart']}
",point_e\diffusion\gaussian_diffusion.py
ddim_sample_loop,"Generate samples from the model using DDIM.

Same usage as p_sample_loop().","def ddim_sample_loop(self, model, shape, noise=None, clip_denoised=False,
    denoised_fn=None, cond_fn=None, model_kwargs=None, device=None,
    progress=False, eta=0.0, temp=1.0):
    """"""""""""
    final = None
    for sample in self.ddim_sample_loop_progressive(model, shape, noise=
        noise, clip_denoised=clip_denoised, denoised_fn=denoised_fn,
        cond_fn=cond_fn, model_kwargs=model_kwargs, device=device, progress
        =progress, eta=eta, temp=temp):
        final = sample
    return final['sample']
",point_e\diffusion\gaussian_diffusion.py
ddim_sample_loop_progressive,"Use DDIM to sample from the model and yield intermediate samples from
each timestep of DDIM.

Same usage as p_sample_loop_progressive().","def ddim_sample_loop_progressive(self, model, shape, noise=None,
    clip_denoised=False, denoised_fn=None, cond_fn=None, model_kwargs=None,
    device=None, progress=False, eta=0.0, temp=1.0):
    """"""""""""
    if device is None:
        device = next(model.parameters()).device
    assert isinstance(shape, (tuple, list))
    if noise is not None:
        img = noise
    else:
        img = th.randn(*shape, device=device) * temp
    indices = list(range(self.num_timesteps))[::-1]
    if progress:
        from tqdm.auto import tqdm
        indices = tqdm(indices)
    for i in indices:
        t = th.tensor([i] * shape[0], device=device)
        with th.no_grad():
            out = self.ddim_sample(model, img, t, clip_denoised=
                clip_denoised, denoised_fn=denoised_fn, cond_fn=cond_fn,
                model_kwargs=model_kwargs, eta=eta)
            yield self.unscale_out_dict(out)
            img = out['sample']
",point_e\diffusion\gaussian_diffusion.py
_vb_terms_bpd,"Get a term for the variational lower-bound.

The resulting units are bits (rather than nats, as one might expect).
This allows for comparison to other papers.

:return: a dict with the following keys:
         - 'output': a shape [N] tensor of NLLs or KLs.
         - 'pred_xstart': the x_0 predictions.","def _vb_terms_bpd(self, model, x_start, x_t, t, clip_denoised=False,
    model_kwargs=None):
    """"""""""""
    true_mean, _, true_log_variance_clipped = self.q_posterior_mean_variance(
        x_start=x_start, x_t=x_t, t=t)
    out = self.p_mean_variance(model, x_t, t, clip_denoised=clip_denoised,
        model_kwargs=model_kwargs)
    kl = normal_kl(true_mean, true_log_variance_clipped, out['mean'], out[
        'log_variance'])
    kl = mean_flat(kl) / np.log(2.0)
    decoder_nll = -discretized_gaussian_log_likelihood(x_start, means=out[
        'mean'], log_scales=0.5 * out['log_variance'])
    if not self.discretized_t0:
        decoder_nll = th.zeros_like(decoder_nll)
    assert decoder_nll.shape == x_start.shape
    decoder_nll = mean_flat(decoder_nll) / np.log(2.0)
    output = th.where(t == 0, decoder_nll, kl)
    return {'output': output, 'pred_xstart': out['pred_xstart'], 'extra':
        out['extra']}
",point_e\diffusion\gaussian_diffusion.py
training_losses,"Compute training losses for a single timestep.

:param model: the model to evaluate loss on.
:param x_start: the [N x C x ...] tensor of inputs.
:param t: a batch of timestep indices.
:param model_kwargs: if not None, a dict of extra keyword arguments to
    pass to the model. This can be used for conditioning.
:param noise: if specified, the specific Gaussian noise to try to remove.
:return: a dict with the key ""loss"" containing a tensor of shape [N].
         Some mean or variance settings may also have other keys.","def training_losses(self, model, x_start, t, model_kwargs=None, noise=None
    ) ->Dict[str, th.Tensor]:
    """"""""""""
    x_start = self.scale_channels(x_start)
    if model_kwargs is None:
        model_kwargs = {}
    if noise is None:
        noise = th.randn_like(x_start)
    x_t = self.q_sample(x_start, t, noise=noise)
    terms = {}
    if self.loss_type == 'kl' or self.loss_type == 'rescaled_kl':
        vb_terms = self._vb_terms_bpd(model=model, x_start=x_start, x_t=x_t,
            t=t, clip_denoised=False, model_kwargs=model_kwargs)
        terms['loss'] = vb_terms['output']
        if self.loss_type == 'rescaled_kl':
            terms['loss'] *= self.num_timesteps
        extra = vb_terms['extra']
    elif self.loss_type == 'mse' or self.loss_type == 'rescaled_mse':
        model_output = model(x_t, t, **model_kwargs)
        if isinstance(model_output, tuple):
            model_output, extra = model_output
        else:
            extra = {}
        if self.model_var_type in ['learned', 'learned_range']:
            B, C = x_t.shape[:2]
            assert model_output.shape == (B, C * 2, *x_t.shape[2:])
            model_output, model_var_values = th.split(model_output, C, dim=1)
            frozen_out = th.cat([model_output.detach(), model_var_values],
                dim=1)
            terms['vb'] = self._vb_terms_bpd(model=lambda *args, r=
                frozen_out: r, x_start=x_start, x_t=x_t, t=t, clip_denoised
                =False)['output']
            if self.loss_type == 'rescaled_mse':
                terms['vb'] *= self.num_timesteps / 1000.0
        target = {'x_prev': self.q_posterior_mean_variance(x_start=x_start,
            x_t=x_t, t=t)[0], 'x_start': x_start, 'epsilon': noise}[self.
            model_mean_type]
        assert model_output.shape == target.shape == x_start.shape
        terms['mse'] = mean_flat((target - model_output) ** 2)
        if 'vb' in terms:
            terms['loss'] = terms['mse'] + terms['vb']
        else:
            terms['loss'] = terms['mse']
    else:
        raise NotImplementedError(self.loss_type)
    if 'losses' in extra:
        terms.update({k: loss for k, (loss, _scale) in extra['losses'].items()}
            )
        for loss, scale in extra['losses'].values():
            terms['loss'] = terms['loss'] + loss * scale
    return terms
",point_e\diffusion\gaussian_diffusion.py
_prior_bpd,"Get the prior KL term for the variational lower-bound, measured in
bits-per-dim.

This term can't be optimized, as it only depends on the encoder.

:param x_start: the [N x C x ...] tensor of inputs.
:return: a batch of [N] KL values (in bits), one per batch element.","def _prior_bpd(self, x_start):
    """"""""""""
    batch_size = x_start.shape[0]
    t = th.tensor([self.num_timesteps - 1] * batch_size, device=x_start.device)
    qt_mean, _, qt_log_variance = self.q_mean_variance(x_start, t)
    kl_prior = normal_kl(mean1=qt_mean, logvar1=qt_log_variance, mean2=0.0,
        logvar2=0.0)
    return mean_flat(kl_prior) / np.log(2.0)
",point_e\diffusion\gaussian_diffusion.py
